timestamp,x_m,y_m,magnitude_h2,laser_distance_cm
2026-05-13T12:37:37.395381,-0.0040,0.2345,0.202737,4.800
2026-05-13T12:37:37.416952,-0.0040,0.2345,0.273992,4.900
2026-05-13T12:37:37.436347,-0.0040,0.2345,0.267127,4.900
2026-05-13T12:37:37.456317,-0.0040,0.2345,0.306505,4.900
2026-05-13T12:37:37.478365,-0.0040,0.2345,0.174288,4.800
2026-05-13T12:37:37.497277,-0.0040,0.2345,0.044493,4.800
2026-05-13T12:37:37.519335,-0.0029,0.2234,0.073173,5.200
2026-05-13T12:37:37.538237,-0.0029,0.2234,0.207311,5.200
2026-05-13T12:37:37.559216,-0.0029,0.2234,0.067759,5.200
2026-05-13T12:37:37.580277,-0.0029,0.2234,0.218014,5.000
2026-05-13T12:37:37.600174,-0.0029,0.2234,0.161452,5.000
2026-05-13T12:37:37.621224,-0.0029,0.2234,0.128159,5.000
2026-05-13T12:37:37.641149,-0.0029,0.2234,0.105289,5.000
2026-05-13T12:37:37.661139,-0.0021,0.2152,0.170360,5.000
2026-05-13T12:37:37.682106,-0.0021,0.2152,0.249249,4.800
2026-05-13T12:37:37.702531,-0.0021,0.2152,0.431277,4.800
2026-05-13T12:37:37.724133,-0.0021,0.2152,0.196582,5.000
2026-05-13T12:37:37.743041,-0.0021,0.2152,0.413054,5.000
2026-05-13T12:37:37.765085,-0.0021,0.2152,0.333775,4.800
2026-05-13T12:37:37.783999,-0.0021,0.2152,0.263989,4.800
2026-05-13T12:37:37.804986,-0.0021,0.2084,0.600711,4.800
2026-05-13T12:37:37.826034,-0.0021,0.2084,0.452320,5.200
2026-05-13T12:37:37.845974,-0.0021,0.2084,0.338674,5.200
2026-05-13T12:37:37.866991,-0.0021,0.2084,0.462942,5.000
2026-05-13T12:37:37.886896,-0.0021,0.2084,0.393122,5.000
2026-05-13T12:37:37.906872,-0.0021,0.2084,0.340285,5.000
2026-05-13T12:37:37.928915,-0.0021,0.2084,0.353754,5.000
2026-05-13T12:37:37.947843,-0.0020,0.2018,0.377546,5.000
2026-05-13T12:37:37.969898,-0.0020,0.2018,0.233836,4.900
2026-05-13T12:37:37.988839,-0.0020,0.2018,0.296596,4.900
2026-05-13T12:37:38.010889,-0.0020,0.2018,0.295531,5.000
2026-05-13T12:37:38.029818,-0.0020,0.2018,0.209233,5.000
2026-05-13T12:37:38.050735,-0.0020,0.2018,0.096908,5.000
2026-05-13T12:37:38.071822,-0.0016,0.1947,0.180286,5.000
2026-05-13T12:37:38.091708,-0.0016,0.1947,0.029503,5.000
2026-05-13T12:37:38.112756,-0.0016,0.1947,0.128422,4.900
2026-05-13T12:37:38.132665,-0.0016,0.1947,0.502919,4.900
2026-05-13T12:37:38.152634,-0.0016,0.1947,0.540556,4.900
2026-05-13T12:37:38.174691,-0.0016,0.1947,0.261769,4.900
2026-05-13T12:37:38.193610,-0.0016,0.1947,0.258482,4.900
